Time,05GEX01,05GEX02,05GEX03,05GEX04,05GEX05,05GEX06,05GEX07,05GEX08,05GEX09
6/29/2017 0:35,436.808,436.074,434.995,434.678,433.835,432.866,432.166,431.242,430.313
6/29/2017 0:40,436.814,436.076,434.995,434.678,433.839,432.862,432.166,431.24,430.303
6/29/2017 0:45,436.807,436.075,434.996,434.678,433.836,432.864,432.164,431.239,430.313
6/29/2017 0:50,436.808,436.072,434.995,434.674,433.83,432.859,432.163,431.24,430.345
6/29/2017 0:55,436.81,436.074,434.997,434.678,433.832,432.861,432.164,431.236,430.294
6/29/2017 1:00,436.804,436.071,434.99,434.674,433.833,432.861,432.167,431.239,430.314
6/29/2017 1:05,436.806,436.069,434.987,434.673,433.833,432.861,432.161,431.238,430.294
6/29/2017 1:10,436.8,436.071,434.995,434.676,433.834,432.863,432.167,431.239,430.289
6/29/2017 1:15,436.805,436.071,434.992,434.672,433.828,432.862,432.164,431.234,430.303
6/29/2017 1:20,436.808,436.065,434.996,434.672,433.828,432.856,432.162,431.234,430.303
6/29/2017 1:25,436.811,436.069,434.984,434.674,433.831,432.859,432.16,431.233,430.299
6/29/2017 1:30,436.811,436.066,434.993,434.671,433.83,432.855,432.156,431.233,430.323
6/29/2017 1:35,436.799,436.065,434.99,434.67,433.83,432.844,432.158,431.232,430.308
6/29/2017 1:40,436.79,436.068,434.984,434.67,433.83,432.851,432.156,431.231,430.31
6/29/2017 1:45,436.806,436.066,434.986,434.671,433.83,432.854,432.163,431.234,430.315
6/29/2017 1:50,436.797,436.066,434.987,434.666,433.83,432.854,432.162,431.228,430.303
6/29/2017 1:55,436.798,436.065,434.985,434.667,433.826,432.853,432.16,431.233,430.311
6/29/2017 2:00,436.8,436.063,434.988,434.669,433.829,432.859,432.158,431.231,430.314
6/29/2017 2:05,436.798,436.066,434.984,434.667,433.827,432.856,432.157,431.231,430.288
6/29/2017 2:10,436.796,436.062,434.981,434.667,433.823,432.844,432.156,431.23,430.296
6/29/2017 2:15,436.799,436.064,434.981,434.662,433.826,432.856,432.154,431.227,430.308
6/29/2017 2:20,436.803,436.06,434.984,434.666,433.823,432.861,432.157,431.224,430.288
6/29/2017 2:25,436.793,436.059,434.983,434.668,433.823,432.856,432.157,431.228,430.29
6/29/2017 2:30,436.794,436.062,434.975,434.663,433.822,432.853,432.157,431.222,430.292
6/29/2017 2:35,436.797,436.062,434.984,434.664,433.826,432.845,432.154,431.228,430.293
6/29/2017 2:40,436.791,436.061,434.98,434.664,433.821,432.844,432.156,431.225,430.301
6/29/2017 2:45,436.797,436.06,434.982,434.659,433.819,432.849,432.155,431.227,430.292
6/29/2017 2:50,436.798,436.058,434.979,434.663,433.82,432.843,432.154,431.224,430.304
6/29/2017 2:55,436.791,436.055,434.984,434.662,433.82,432.845,432.152,431.223,430.289
6/29/2017 3:00,436.788,436.058,434.974,434.661,433.818,432.849,432.154,431.222,430.302
6/29/2017 3:05,436.801,436.062,434.97,434.663,433.818,432.849,432.153,431.225,430.294
6/29/2017 3:10,436.805,436.062,434.976,434.662,433.819,432.84,432.155,431.223,430.292
6/29/2017 3:15,436.798,436.06,434.972,434.656,433.816,432.845,432.153,431.223,430.305
6/29/2017 3:20,436.79,436.059,434.977,434.653,433.816,432.839,432.151,431.219,430.294
6/29/2017 3:25,436.795,436.06,434.967,434.659,433.814,432.842,432.151,431.222,430.307
6/29/2017 3:30,436.789,436.056,434.978,434.659,433.816,432.842,432.151,431.221,430.297
6/29/2017 3:35,436.792,436.054,434.972,434.657,433.814,432.843,432.148,431.221,430.296
6/29/2017 3:40,436.794,436.053,434.97,434.656,433.813,432.846,432.152,431.223,430.298
6/29/2017 3:45,436.799,436.056,434.977,434.656,433.815,432.843,432.146,431.221,430.286
6/29/2017 3:50,436.787,436.051,434.976,434.659,433.815,432.84,432.146,431.218,430.288
6/29/2017 3:55,436.795,436.053,434.979,434.655,433.812,432.835,432.146,431.216,430.289
6/29/2017 4:00,436.788,436.052,434.972,434.659,433.813,432.838,432.148,431.22,430.293
6/29/2017 4:05,436.786,436.053,434.975,434.658,433.812,432.841,432.141,431.221,430.289
6/29/2017 4:10,436.791,436.054,434.975,434.655,433.811,432.838,432.147,431.218,430.284
6/29/2017 4:15,436.789,436.052,434.975,434.651,433.81,432.838,432.144,431.218,430.288
6/29/2017 4:20,436.791,436.054,434.972,434.653,433.81,432.834,432.145,431.217,430.292
6/29/2017 4:25,436.789,436.05,434.979,434.659,433.811,432.841,432.135,431.216,430.287
6/29/2017 4:30,436.784,436.05,434.971,434.65,433.812,432.842,432.141,431.214,430.284
6/29/2017 4:35,436.788,436.049,434.973,434.655,433.811,432.835,432.138,431.216,430.291
6/29/2017 4:40,436.79,436.05,434.967,434.654,433.809,432.839,432.14,431.216,430.288
6/29/2017 4:45,436.786,436.047,434.971,434.653,433.807,432.838,432.142,431.215,430.286
