date_time,t_id,latitude,longitude,wse,temp,flag
03/05/2015 22:15,t001,4320150.248,601903.867,-20.976,13.85,
03/05/2015 22:30,t001,4320150.248,601903.867,-20.971,13.85,
03/05/2015 22:45,t001,4320150.248,601903.867,-20.969,13.85,
03/05/2015 23:00,t001,4320150.248,601903.867,-20.973,13.85,
03/05/2015 23:15,t001,4320150.248,601903.867,-20.971,13.75,
03/05/2015 23:30,t001,4320150.248,601903.867,-20.975,13.75,
03/05/2015 23:45,t001,4320150.248,601903.867,-20.974,13.75,
03/06/2015 00:00,t001,4320150.248,601903.867,-20.974,13.75,
03/06/2015 00:15,t001,4320150.248,601903.867,-20.977,13.75,
03/06/2015 00:30,t001,4320150.248,601903.867,-20.977,13.65,
03/06/2015 00:45,t001,4320150.248,601903.867,-20.977,13.65,
03/06/2015 01:00,t001,4320150.248,601903.867,-20.976,13.65,
03/06/2015 01:15,t001,4320150.248,601903.867,-20.981,13.65,
03/06/2015 01:30,t001,4320150.248,601903.867,-20.983,13.56,
03/06/2015 01:45,t001,4320150.248,601903.867,-20.984,13.56,
03/06/2015 02:00,t001,4320150.248,601903.867,-20.984,13.56,
03/06/2015 02:15,t001,4320150.248,601903.867,-20.986,13.56,
03/06/2015 02:30,t001,4320150.248,601903.867,-20.988,13.56,
03/06/2015 02:45,t001,4320150.248,601903.867,-20.990,13.46,
03/06/2015 03:00,t001,4320150.248,601903.867,-20.990,13.46,
03/06/2015 03:15,t001,4320150.248,601903.867,-20.991,13.46,
03/06/2015 03:30,t001,4320150.248,601903.867,-20.994,13.37,
03/06/2015 03:45,t001,4320150.248,601903.867,-20.992,13.37,
03/06/2015 04:00,t001,4320150.248,601903.867,-20.992,13.37,
03/06/2015 04:15,t001,4320150.248,601903.867,-20.995,13.37,
03/06/2015 04:30,t001,4320150.248,601903.867,-20.995,13.37,
03/06/2015 04:45,t001,4320150.248,601903.867,-20.995,13.27,
03/06/2015 05:00,t001,4320150.248,601903.867,-20.996,13.27,
03/06/2015 05:15,t001,4320150.248,601903.867,-20.999,13.27,
03/06/2015 05:30,t001,4320150.248,601903.867,-21.000,13.27,
03/06/2015 05:45,t001,4320150.248,601903.867,-21.000,13.27,
03/06/2015 06:00,t001,4320150.248,601903.867,-20.998,13.17,
03/06/2015 06:15,t001,4320150.248,601903.867,-21.003,13.17,
03/06/2015 06:30,t001,4320150.248,601903.867,-21.005,13.17,
03/06/2015 06:45,t001,4320150.248,601903.867,-21.002,13.17,
03/06/2015 07:00,t001,4320150.248,601903.867,-21.004,13.08,
03/06/2015 07:15,t001,4320150.248,601903.867,-21.004,13.08,
03/06/2015 07:30,t001,4320150.248,601903.867,-21.003,13.08,
03/06/2015 07:45,t001,4320150.248,601903.867,-21.006,13.08,
03/06/2015 08:00,t001,4320150.248,601903.867,-21.006,12.98,
03/06/2015 08:15,t001,4320150.248,601903.867,-21.009,12.98,
03/06/2015 08:30,t001,4320150.248,601903.867,-21.007,12.98,
03/06/2015 08:45,t001,4320150.248,601903.867,-21.009,12.98,
03/06/2015 09:00,t001,4320150.248,601903.867,-21.013,12.98,
03/06/2015 09:15,t001,4320150.248,601903.867,-21.013,12.98,
03/06/2015 09:30,t001,4320150.248,601903.867,-21.015,12.98,
03/06/2015 09:45,t001,4320150.248,601903.867,-21.018,12.98,
03/06/2015 10:00,t001,4320150.248,601903.867,-21.015,12.98,
03/06/2015 10:15,t001,4320150.248,601903.867,-21.018,12.98,
03/06/2015 10:30,t001,4320150.248,601903.867,-21.020,12.98,
03/06/2015 10:45,t001,4320150.248,601903.867,-21.021,13.08,
03/06/2015 11:00,t001,4320150.248,601903.867,-21.023,13.08,
03/06/2015 11:15,t001,4320150.248,601903.867,-21.023,13.08,
03/06/2015 11:30,t001,4320150.248,601903.867,-21.022,13.08,
03/06/2015 11:45,t001,4320150.248,601903.867,-21.023,13.17,
03/06/2015 12:00,t001,4320150.248,601903.867,-21.024,13.17,
03/06/2015 12:15,t001,4320150.248,601903.867,-21.024,13.17,
03/06/2015 12:30,t001,4320150.248,601903.867,-21.025,13.27,
03/06/2015 12:45,t001,4320150.248,601903.867,-21.023,13.27,
03/06/2015 13:00,t001,4320150.248,601903.867,-21.028,13.27,
03/06/2015 13:15,t001,4320150.248,601903.867,-21.027,13.37,
03/06/2015 13:30,t001,4320150.248,601903.867,-21.027,13.37,
03/06/2015 13:45,t001,4320150.248,601903.867,-21.029,13.46,
03/06/2015 14:00,t001,4320150.248,601903.867,-21.029,13.46,
03/06/2015 14:15,t001,4320150.248,601903.867,-21.030,13.46,
03/06/2015 14:30,t001,4320150.248,601903.867,-21.030,13.56,
03/06/2015 14:45,t001,4320150.248,601903.867,-21.029,13.56,
03/06/2015 15:00,t001,4320150.248,601903.867,-21.029,13.56,
03/06/2015 15:15,t001,4320150.248,601903.867,-21.030,13.65,
03/06/2015 15:30,t001,4320150.248,601903.867,-21.031,13.65,
03/06/2015 15:45,t001,4320150.248,601903.867,-21.030,13.75,
03/06/2015 16:00,t001,4320150.248,601903.867,-21.029,13.75,
03/06/2015 16:15,t001,4320150.248,601903.867,-21.029,13.75,
03/06/2015 16:30,t001,4320150.248,601903.867,-21.028,13.85,
03/06/2015 16:45,t001,4320150.248,601903.867,-21.030,13.85,
03/06/2015 17:00,t001,4320150.248,601903.867,-21.032,13.85,
03/06/2015 17:15,t001,4320150.248,601903.867,-21.034,13.94,
03/06/2015 17:30,t001,4320150.248,601903.867,-21.032,13.94,
03/06/2015 17:45,t001,4320150.248,601903.867,-21.033,13.94,
03/06/2015 18:00,t001,4320150.248,601903.867,-21.032,14.04,
03/06/2015 18:15,t001,4320150.248,601903.867,-21.034,14.04,
03/06/2015 18:30,t001,4320150.248,601903.867,-21.031,14.04,
03/06/2015 18:45,t001,4320150.248,601903.867,-21.031,14.13,
03/06/2015 19:00,t001,4320150.248,601903.867,-21.033,14.13,
03/06/2015 19:15,t001,4320150.248,601903.867,-21.026,14.13,
03/06/2015 19:30,t001,4320150.248,601903.867,-21.031,14.13,
03/06/2015 19:45,t001,4320150.248,601903.867,-21.027,14.23,
03/06/2015 20:00,t001,4320150.248,601903.867,-21.029,14.23,
03/06/2015 20:15,t001,4320150.248,601903.867,-21.028,14.23,
03/06/2015 20:30,t001,4320150.248,601903.867,-21.031,14.23,
03/06/2015 20:45,t001,4320150.248,601903.867,-21.033,14.23,
03/06/2015 21:00,t001,4320150.248,601903.867,-21.032,14.23,
03/06/2015 21:15,t001,4320150.248,601903.867,-21.031,14.23,
03/06/2015 21:30,t001,4320150.248,601903.867,-21.031,14.23,
03/06/2015 21:45,t001,4320150.248,601903.867,-21.032,14.23,
03/06/2015 22:00,t001,4320150.248,601903.867,-21.032,14.23,
03/06/2015 22:15,t001,4320150.248,601903.867,-21.031,14.23,
03/06/2015 22:30,t001,4320150.248,601903.867,-21.032,14.23,
03/06/2015 22:45,t001,4320150.248,601903.867,-21.031,14.23,
03/06/2015 23:00,t001,4320150.248,601903.867,-21.035,14.13,
03/06/2015 23:15,t001,4320150.248,601903.867,-21.037,14.13,
03/06/2015 23:30,t001,4320150.248,601903.867,-21.031,14.13,
03/06/2015 23:45,t001,4320150.248,601903.867,-21.035,14.13,
03/07/2015 00:00,t001,4320150.248,601903.867,-21.035,14.13,
03/07/2015 00:15,t001,4320150.248,601903.867,-21.037,14.04,
03/07/2015 00:30,t001,4320150.248,601903.867,-21.028,14.04,
03/07/2015 00:45,t001,4320150.248,601903.867,-21.040,14.04,
03/07/2015 01:00,t001,4320150.248,601903.867,-21.037,14.04,
03/07/2015 01:15,t001,4320150.248,601903.867,-21.041,14.04,
03/07/2015 01:30,t001,4320150.248,601903.867,-21.039,13.94,
03/07/2015 01:45,t001,4320150.248,601903.867,-21.042,13.94,
03/07/2015 02:00,t001,4320150.248,601903.867,-21.038,13.94,
03/07/2015 02:15,t001,4320150.248,601903.867,-21.045,13.94,
03/07/2015 02:30,t001,4320150.248,601903.867,-21.041,13.85,
03/07/2015 02:45,t001,4320150.248,601903.867,-21.043,13.85,
03/07/2015 03:00,t001,4320150.248,601903.867,-21.045,13.85,
03/07/2015 03:15,t001,4320150.248,601903.867,-21.043,13.85,
03/07/2015 03:30,t001,4320150.248,601903.867,-21.056,13.75,
03/07/2015 03:45,t001,4320150.248,601903.867,-21.040,13.75,
03/07/2015 04:00,t001,4320150.248,601903.867,-21.045,13.75,
03/07/2015 04:15,t001,4320150.248,601903.867,-21.043,13.75,
03/07/2015 04:30,t001,4320150.248,601903.867,-21.045,13.75,
03/07/2015 04:45,t001,4320150.248,601903.867,-21.047,13.65,
03/07/2015 05:00,t001,4320150.248,601903.867,-21.043,13.65,
03/07/2015 05:15,t001,4320150.248,601903.867,-21.047,13.65,
03/07/2015 05:30,t001,4320150.248,601903.867,-21.044,13.65,
03/07/2015 05:45,t001,4320150.248,601903.867,-21.045,13.65,
03/07/2015 06:00,t001,4320150.248,601903.867,-21.048,13.56,
03/07/2015 06:15,t001,4320150.248,601903.867,-21.050,13.56,
03/07/2015 06:30,t001,4320150.248,601903.867,-21.050,13.56,
03/07/2015 06:45,t001,4320150.248,601903.867,-21.046,13.56,
03/07/2015 07:00,t001,4320150.248,601903.867,-21.048,13.46,
03/07/2015 07:15,t001,4320150.248,601903.867,-21.051,13.46,
03/07/2015 07:30,t001,4320150.248,601903.867,-21.049,13.46,
03/07/2015 07:45,t001,4320150.248,601903.867,-21.055,13.46,
03/07/2015 08:00,t001,4320150.248,601903.867,-21.049,13.37,
03/07/2015 08:15,t001,4320150.248,601903.867,-21.048,13.37,
03/07/2015 08:30,t001,4320150.248,601903.867,-21.056,13.37,
03/07/2015 08:45,t001,4320150.248,601903.867,-21.050,13.37,
03/07/2015 09:00,t001,4320150.248,601903.867,-21.050,13.37,
03/07/2015 09:15,t001,4320150.248,601903.867,-21.053,13.37,
03/07/2015 09:30,t001,4320150.248,601903.867,-21.055,13.37,
03/07/2015 09:45,t001,4320150.248,601903.867,-21.059,13.37,
03/07/2015 10:00,t001,4320150.248,601903.867,-21.059,13.37,
03/07/2015 10:15,t001,4320150.248,601903.867,-21.064,13.46,
03/07/2015 10:30,t001,4320150.248,601903.867,-21.060,13.46,
03/07/2015 10:45,t001,4320150.248,601903.867,-21.062,13.46,
03/07/2015 11:00,t001,4320150.248,601903.867,-21.058,13.56,
03/07/2015 11:15,t001,4320150.248,601903.867,-21.066,13.56,
03/07/2015 11:30,t001,4320150.248,601903.867,-21.062,13.56,
03/07/2015 11:45,t001,4320150.248,601903.867,-21.063,13.65,
03/07/2015 12:00,t001,4320150.248,601903.867,-21.065,13.65,
03/07/2015 12:15,t001,4320150.248,601903.867,-21.060,13.75,
03/07/2015 12:30,t001,4320150.248,601903.867,-21.059,13.75,
03/07/2015 12:45,t001,4320150.248,601903.867,-21.061,13.75,
03/07/2015 13:00,t001,4320150.248,601903.867,-21.060,13.85,
03/07/2015 13:15,t001,4320150.248,601903.867,-21.064,13.85,
03/07/2015 13:30,t001,4320150.248,601903.867,-21.064,13.85,
03/07/2015 13:45,t001,4320150.248,601903.867,-21.059,13.85,
03/07/2015 14:00,t001,4320150.248,601903.867,-21.058,13.85,
03/07/2015 14:15,t001,4320150.248,601903.867,-21.060,13.94,
03/07/2015 14:30,t001,4320150.248,601903.867,-21.060,13.94,
03/07/2015 14:45,t001,4320150.248,601903.867,-21.059,13.94,
03/07/2015 15:00,t001,4320150.248,601903.867,-21.056,14.04,
03/07/2015 15:15,t001,4320150.248,601903.867,-21.058,14.04,
03/07/2015 15:30,t001,4320150.248,601903.867,-21.063,14.04,
03/07/2015 15:45,t001,4320150.248,601903.867,-21.059,14.13,
